                       Research (Cts/Temp.) Glow Curve,,
,,
File Name:        R&D-Quest4TTP 37,,
Date & Time:     6/25/2018 1:42:27 PM,,
,,
,Temperature,Counts
,95,1
,95,1
,95,1
,96,1
,96,1
,97,1
,97,2
,97,2
,97,2
,98,2
,98,2
,99,2
,99,3
,99,3
,100,3
,100,3
,101,3
,101,3
,101,4
,102,4
,102,4
,102,4
,103,5
,103,5
,103,5
,104,5
,104,6
,104,6
,105,6
,105,7
,105,7
,105,7
,106,8
,106,8
,106,8
,107,9
,108,10
,108,10
,108,11
,108,11
,108,12
,109,12
,110,13
,110,14
,111,14
,111,15
,111,15
,112,16
,112,17
,112,18
,113,19
,113,20
,114,20
,114,21
,114,22
,115,23
,115,24
,115,26
,116,26
,116,28
,116,28
,117,30
,117,31
,118,33
,118,34
,119,35
,119,37
,119,39
,120,39
,120,41
,121,43
,121,45
,121,47
,122,47
,122,49
,122,50
,122,52
,123,54
,123,56
,123,59
,124,60
,125,62
,125,63
,125,65
,126,67
,126,68
,126,70
,126,72
,126,74
,127,76
,127,77
,128,79
,128,81
,129,82
,129,83
,129,85
,129,87
,130,88
,131,89
,131,90
,131,92
,132,94
,132,95
,132,97
,133,97
,133,98
,133,100
,134,99
,134,100
,135,100
,135,101
,136,101
,136,101
,136,101
,136,101
,136,100
,137,100
,138,99
,138,98
,138,98
,139,97
,139,95
,139,94
,140,92
,140,90
,141,89
,141,87
,141,86
,142,84
,141,83
,142,81
,142,78
,143,77
,143,75
,143,73
,144,71
,144,70
,145,69
,145,67
,145,66
,146,65
,146,63
,147,62
,147,61
,148,61
,148,60
,148,60
,148,60
,149,60
,149,59
,149,59
,150,60
,151,60
,151,60
,151,61
,151,62
,152,63
,152,64
,152,66
,153,67
,153,68
,153,69
,154,70
,154,73
,154,75
,155,77
,155,79
,156,81
,156,83
,156,85
,157,88
,157,90
,157,92
,158,94
,158,97
,159,99
,159,101
,159,104
,160,107
,160,110
,161,114
,161,116
,161,118
,162,121
,162,125
,163,128
,163,130
,163,133
,163,136
,164,139
,164,142
,164,145
,165,148
,166,150
,166,154
,166,157
,166,158
,167,162
,167,164
,168,167
,168,169
,168,171
,168,174
,169,176
,170,178
,170,180
,170,181
,170,183
,171,184
,171,186
,171,187
,171,189
,172,191
,172,191
,173,192
,173,193
,174,193
,174,193
,174,194
,175,194
,175,195
,175,196
,176,196
,176,194
,177,192
,177,191
,177,191
,178,190
,178,188
,179,188
,179,187
,179,187
,180,186
,180,184
,180,183
,181,180
,181,180
,182,178
,182,177
,182,175
,183,173
,183,173
,183,172
,184,173
,184,173
,184,173
,185,171
,185,170
,186,171
,186,173
,186,173
,187,174
,187,175
,187,175
,188,176
,188,178
,188,179
,189,181
,189,182
,190,185
,191,187
,191,190
,191,192
,191,194
,191,196
,192,198
,192,200
,193,204
,193,207
,193,212
,194,215
,194,219
,195,222
,195,224
,195,228
,195,232
,196,235
,196,237
,196,241
,197,245
,197,249
,198,254
,199,258
,199,260
,200,263
,200,266
,200,269
,200,274
,200,278
,201,282
,201,286
,201,287
,202,289
,202,293
,203,295
,203,300
,204,303
,204,306
,204,308
,204,311
,205,312
,205,312
,205,314
,206,316
,207,318
,207,322
,207,323
,207,326
,208,327
,208,328
,208,328
,209,331
,209,331
,210,331
,210,334
,210,336
,211,336
,212,337
,212,340
,212,342
,212,342
,212,345
,213,348
,213,351
,213,351
,214,356
,215,360
,215,363
,215,366
,216,370
,216,376
,216,379
,217,383
,217,390
,217,396
,218,401
,218,405
,218,411
,219,416
,218,423
,219,432
,219,438
,220,442
,221,449
,221,453
,221,462
,222,468
,222,473
,222,480
,223,485
,223,489
,223,495
,224,497
,224,500
,225,502
,225,505
,225,509
,226,509
,226,508
,227,509
,227,507
,227,503
,228,501
,228,495
,228,490
,229,488
,229,479
,229,469
,230,458
,230,449
,231,439
,231,427
,232,414
,232,399
,232,385
,233,371
,233,357
,233,341
,234,325
,234,310
,235,295
,234,278
,235,263
,235,246
,236,231
,236,215
,236,201
,237,186
,237,170
,238,157
,238,144
,238,131
,239,120
,239,109
,240,99
,240,89
,240,82
,241,74
,241,67
,241,61
,242,55
,242,50
,241,46
,242,42
,243,38
,244,36
,244,34
,244,32
,245,30
,246,28
,247,27
,248,28
,249,27
,249,27
,250,27
,249,26
,250,26
,250,26
,250,26
,250,25
,250,25
,250,24
,250,24
,250,24
,250,23
,250,23
,250,23
,250,23
,250,23
,250,22
,250,22
,250,22
,250,23
,250,22
,250,22
,251,22
,251,21
,251,21
,251,21
